uuid,human_frame_0,human_frame_1,human_frame_2,human_frame_3,human_frame_4,human_frame_5,human_frame_6,all_human_frames
4530f774-1f6b-4ee2-90f2-9e9c5c014c3f,,,quality of life,,,,,quality of life
454ad364-9fd6-4728-8404-e3bcbb8c2382,political,,,,,,political,"political, political"
455b0d9d-f032-4280-9258-d5a1f2cfca2b,,quality of life,,,none,health and safety,,"quality of life, none, health and safety"
45a4e5b0-12bc-43ec-a74e-f4d957f10bbe,,none,,none,none,health and safety,,"none, none, none, health and safety"
467a23b9-ff95-4b23-b46a-f73184558f67,,,crime and punishment,,,,,crime and punishment
46d16cd5-2019-4cc3-8916-4f8256e433c1,,,cultural identity,,,,,cultural identity
46f5211b-a566-40b9-b069-a65dc0c00aec,,cultural identity,,,none,public opinion,,"cultural identity, none, public opinion"
46f8fdfb-ae90-4caf-a3d0-09db17900d30,,none,,,none,public opinion,,"none, none, public opinion"
470741a5-86aa-4da7-9525-30c42cfbeb89,,,none,,,,,none
4748ad8e-3094-4cbb-b86f-1de49293eca7,,none,,,none,none,,"none, none, none"
474c63af-93a2-4779-aae3-15b59dabb3ad,,,,"security and defense, crime and punishment",,,,"security and defense, crime and punishment"
47a52c65-1f34-45d8-940a-f2a8c5d3cb2f,,,none,,,,,none
483f822f-d464-49d0-a0ec-20dfcb6b3d10,crime and punishment,,,none,,,none,"crime and punishment, none, none"
485c63fb-df66-4de5-b6f8-6128407d17c7,political,,,"political, external regulation and reputation",,,political,"political, political, external regulation and reputation, political"
488c0f3a-f5c5-4e1d-bda6-d9cc4f32623d,none,,,,,,none,"none, none"
48ef90d7-5bbd-4d21-aa37-67e595a3f89d,none,,,,,,none,"none, none"
48ff8830-7f6a-42b1-b108-d5d6392c068e,,,crime and punishment,,,,,crime and punishment
4909c835-d1fb-45d2-8de6-6d7dd7a87ddf,economic,,,,,,none,"economic, none"
4913f1de-9d5d-47dd-a1d3-5303c24f6fcd,,"political, security and defense",,,none,economic,,"political, security and defense, none, economic"
495f71b3-ab3f-4276-a39d-11a28c3aa030,,quality of life,,,none,none,,"quality of life, none, none"
49935d2d-87ba-425b-b12b-72c52bdffa8d,none,,,,,,none,"none, none"
49f2aa62-a79e-4d89-99f0-2f05e6b23d25,,,,quality of life,,,,quality of life
4a0758a1-34d8-4167-abe6-d1aaf66e665a,,quality of life,,,none,public opinion,,"quality of life, none, public opinion"
4a19db3a-3b05-45cf-b2aa-8765630fb314,,economic,,,economic,economic,,"economic, economic, economic"
4a2ec5e6-3f4d-41da-8491-8fe230549746,,,none,,,,,none
4a779cef-5558-4237-ba2e-76bad774356a,crime and punishment,,,,,,crime and punishment,"crime and punishment, crime and punishment"
4a87b049-0127-46c4-bceb-15a1fd24cef7,,political,,political,political,"quality of life, capacity and resources, political, security and defense, policy prescription and evaluation, fairness and equality, health and safety, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation, crime and punishment",,"political, political, political, quality of life, capacity and resources, political, security and defense, policy prescription and evaluation, fairness and equality, health and safety, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation, crime and punishment"
4a982030-c6b6-463b-93d1-8c12bcdf9edf,cultural identity,,,,,,none,"cultural identity, none"
4a9fa461-3cd7-46bd-8c00-d943ea85b159,,quality of life,,,none,none,,"quality of life, none, none"
4ac0ecb7-025c-4491-b292-0b3d8f7c7193,,,political,"political, public opinion",,,,"political, political, public opinion"
4ad14c88-304a-4d67-b1c8-2033b20701c0,economic,,,,,,none,"economic, none"
4b17430a-02cb-45ad-b710-b20ad17071e8,,none,,,none,cultural identity,,"none, none, cultural identity"
4b63ac86-5aed-4da2-a522-e8a9fbbe65f4,quality of life,,,,,,none,"quality of life, none"
4b69c8f5-86b6-4a86-8443-ea7718e83626,none,,,none,,,none,"none, none, none"
4b825137-076d-4d22-84f1-63fb20a3501b,,,economic,,,,,economic
4b8498d1-432f-46f6-b303-05befb59c62d,economic,,,,,,none,"economic, none"
4b912008-08c7-448c-908b-520bff3f3312,,quality of life,,,none,none,,"quality of life, none, none"
4b948680-8f6b-4bc6-ae1b-393b1210e74c,,,health and safety,,,,,health and safety
4b9ec936-ba33-49ae-a944-6503ea34b313,,,,"political, security and defense, fairness and equality, public opinion",,,,"political, security and defense, fairness and equality, public opinion"
4ba323b0-8a84-4027-a5a9-d48b8346e4ba,,"quality of life, cultural identity",,,cultural identity,cultural identity,,"quality of life, cultural identity, cultural identity, cultural identity"
4bfeb0bb-aa75-4a7a-bcae-d1a4a4350c46,,,,none,,,,none
4c1ed2e6-cf5c-4bbd-a996-24e948d9b272,,,,"policy prescription and evaluation, public opinion",,,,"policy prescription and evaluation, public opinion"
4c3a830a-eb76-43d6-a09e-75799e8e031d,,none,,,none,"quality of life, security and defense, health and safety",,"none, none, quality of life, security and defense, health and safety"
4c7c759d-514d-483c-ba5f-3c004368bc0f,,,,security and defense,,,,security and defense
4c890f0d-6385-449e-a518-0b7bf03ff3f6,,fairness and equality,,none,none,political,,"fairness and equality, none, none, political"
4d354a22-b2c7-4015-ad08-7f10e458cd87,,,,"security and defense, crime and punishment",,,,"security and defense, crime and punishment"
4d393822-3ea4-4501-ba66-3fea101c9a9a,quality of life,,,,,,quality of life,"quality of life, quality of life"
4de619ca-396d-4c0b-a033-7cfbe55b7b9c,,,none,,,,,none
4e1dfb81-735e-4597-93f9-e9722d12806a,,health and safety,,,health and safety,"quality of life, security and defense, health and safety, public opinion",,"health and safety, health and safety, quality of life, security and defense, health and safety, public opinion"
4e5b14c4-abfa-47ee-a52c-7037ff799a4d,,,,cultural identity,,,,cultural identity
4e8fdd0f-d8b4-4fc0-97b7-fb5046bea50a,,,cultural identity,,,,,cultural identity
4eb0d38f-3944-46e7-8b5d-b6076acdefdd,,cultural identity,,cultural identity,cultural identity,cultural identity,,"cultural identity, cultural identity, cultural identity, cultural identity"
4f1a97dc-8d2c-4ca9-a567-6ac18ad5d64d,,political,,,political,"quality of life, capacity and resources, political, security and defense, policy prescription and evaluation, fairness and equality, health and safety, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation, crime and punishment",,"political, political, quality of life, capacity and resources, political, security and defense, policy prescription and evaluation, fairness and equality, health and safety, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation, crime and punishment"
4f6d60b3-7411-4dfc-9323-cd77ec471389,,,"quality of life, economic",,,,,"quality of life, economic"
4fc1e780-0049-480e-b7e2-54769620b96d,,,public opinion,,,,,public opinion
4fc4f76e-e1c9-421c-9e70-21171ca24db8,none,,,,,,none,"none, none"
4fc8975b-8119-4c50-b5b6-305767bdd85c,,cultural identity,,,none,"economic, cultural identity",,"cultural identity, none, economic, cultural identity"
50520277-4efc-419c-8406-05441cf74848,political,,,,,,political,"political, political"
5061ebf7-cf82-43c9-a079-d34d94506e33,health and safety,,,,,,none,"health and safety, none"
5079dd32-a048-48fb-a3aa-79012610c750,,capacity and resources,,,none,economic,,"capacity and resources, none, economic"
50d183f3-81ee-493c-8206-0ba8f46d047c,,,,none,,,,none
50edf513-e959-418f-b151-2997fb2f4f75,,,,external regulation and reputation,,,,external regulation and reputation
50f1381f-34e6-4f75-bde1-1bc2e9dff7d5,,none,,,none,cultural identity,,"none, none, cultural identity"
5100d817-1741-4451-8fcb-ea0fb71430b8,quality of life,,,,,,none,"quality of life, none"
5141d64c-1566-4529-84c2-210ce3f7d6e4,,cultural identity,,cultural identity,cultural identity,"economic, cultural identity",,"cultural identity, cultural identity, cultural identity, economic, cultural identity"
5147718c-60ee-4676-a09e-ad25b95bd344,,,,economic,,,,economic
516b6378-23f3-421e-b8fd-5bb24ae28534,,,none,,,,,none
51eed6aa-9446-41c3-9e21-30eaa2406b9b,,,,none,,,,none
52480f35-d4ea-4132-a4f6-787de16b0828,,none,,,none,economic,,"none, none, economic"
5256f8cb-6f42-4ffd-8f7b-745fcaefd75f,health and safety,,,,,,none,"health and safety, none"
5273e062-ff0e-4b32-a1f5-ee732df0b18b,quality of life,,,,,,none,"quality of life, none"
52bb7267-6f0f-4c8c-8c59-e58d3f2ec648,,,health and safety,,,,,health and safety
52d2acda-e8f0-4146-a686-06ceee8e71b9,,,cultural identity,,,,,cultural identity
52e1be32-638e-4115-a78d-aff58e014a58,quality of life,,,,,,quality of life,"quality of life, quality of life"
532c44f2-23eb-42bd-a68a-4edd18608e66,political,,,,,,political,"political, political"
54100bb0-bb43-4ea2-87bf-1c2467de53d3,,,,none,,,,none
54a0b6f4-42f8-46a1-9161-1163529d5c5d,,capacity and resources,,,health and safety,"quality of life, health and safety, economic",,"capacity and resources, health and safety, quality of life, health and safety, economic"
54cfd321-f54b-4915-8b57-6b724e21fc1b,,"public opinion, cultural identity",,,cultural identity,"morality, cultural identity",,"public opinion, cultural identity, cultural identity, morality, cultural identity"
54d1164f-fdd0-4392-a84b-9bb70d4a68ca,cultural identity,,,,,,none,"cultural identity, none"
54dfad0b-2bf1-42d3-b826-436753a70d5a,,none,,,none,none,,"none, none, none"
54f2d5cb-b1f7-4a28-a3c9-52b69a1686ef,fairness and equality,,,health and safety,,,health and safety,"fairness and equality, health and safety, health and safety"
5511bb17-a02a-4900-8d6a-bbeda4e25d17,,,,"morality, cultural identity",,,,"morality, cultural identity"
56459e3a-3b51-4d00-8217-6e4ce2709ccd,,,crime and punishment,security and defense,,,,"crime and punishment, security and defense"
5654a027-9be3-404b-88f6-cc80ff56bc6f,,,,cultural identity,,,,cultural identity
566f9fa1-f87e-4995-9b69-df2a489ac75b,none,,,,,,none,"none, none"
5685640f-14fd-4834-af41-da3cfd5e7cb4,,economic,,,none,none,,"economic, none, none"
5764aff4-5b04-40d7-804d-fa4806cf3ded,quality of life,,,,,,none,"quality of life, none"
57cbc941-87d9-41f0-862e-45f7f20954f6,cultural identity,,,,,,cultural identity,"cultural identity, cultural identity"
58389b7c-5a54-43f7-8c17-71be5c7941ea,,,none,,,,,none
58478711-415f-40f6-ab4c-d6af35cd9a36,,,,political,,,,political
585010c9-18c5-4e3b-9218-f9759ef53c55,,,none,,,,,none
586eeea5-43ff-4636-b669-a04ae7efa82c,cultural identity,,,,,,none,"cultural identity, none"
58c2d191-bbfc-4b05-a54f-75ccc26c08a8,,legality_constitutionality_jurisprudence,,legality_constitutionality_jurisprudence,legality_constitutionality_jurisprudence,"political, security and defense, legality_constitutionality_jurisprudence, economic, public opinion, crime and punishment",,"legality_constitutionality_jurisprudence, legality_constitutionality_jurisprudence, legality_constitutionality_jurisprudence, political, security and defense, legality_constitutionality_jurisprudence, economic, public opinion, crime and punishment"
58e15587-c939-4657-8cef-0f27667d45d1,economic,,,,,,capacity and resources,"economic, capacity and resources"
5907d470-241b-4f3a-8528-feecf855feb4,economic,,,,,,none,"economic, none"
59374504-6ad9-4ca9-87a9-2822a2a399c4,political,,,"quality of life, security and defense, policy prescription and evaluation",,,quality of life,"political, quality of life, security and defense, policy prescription and evaluation, quality of life"
59bc3fdd-8c20-4cb6-a47c-42bff71ff305,,,health and safety,,,,,health and safety
59e0e6cf-6d7f-41ae-b649-dac34451fe5a,,,quality of life,,,,,quality of life
5a9dc626-223b-4169-8b46-9204f30ff5bd,,"political, public opinion",,,"political, fairness and equality, public opinion, cultural identity","quality of life, political, security and defense, legality_constitutionality_jurisprudence, public opinion, cultural identity, crime and punishment",,"political, public opinion, political, fairness and equality, public opinion, cultural identity, quality of life, political, security and defense, legality_constitutionality_jurisprudence, public opinion, cultural identity, crime and punishment"
5af50732-522f-4e97-a339-b1a99ff54001,,,,none,,,,none
5b532428-3f77-42c2-a51d-584a220bc343,,,,none,,,,none
5bad7b8a-3acf-4b96-9e8f-323bd368c841,economic,,,,,,quality of life,"economic, quality of life"
5bb80507-1cbf-4a32-8e91-78c735e4b805,,,quality of life,,,,,quality of life
5bd12fc2-3d40-4ecd-92c3-b079d3220cff,political,,,,,,none,"political, none"
5be30564-4e33-4911-82c9-74774999a8cc,,,,none,,,,none
5c530841-d885-454b-a79a-85ca53e8fe55,,"political, health and safety",,,health and safety,"quality of life, capacity and resources, security and defense, health and safety",,"political, health and safety, health and safety, quality of life, capacity and resources, security and defense, health and safety"
5c63164b-d933-45f9-a741-4fff3214f3ce,,capacity and resources,,,none,health and safety,,"capacity and resources, none, health and safety"
5c8b46e8-d684-431f-bdfb-64fde582c9f4,public opinion,,,,,,none,"public opinion, none"
5cabcdb7-8a0a-4dfe-8d98-5f75a17381a6,,,none,,,,,none
5cabf216-14a1-4d38-bcf9-9e65b6d96afc,,,cultural identity,none,,,,"cultural identity, none"
5ced775e-ba13-457a-9473-6bf061caaa95,,,political,,,,,political
5d0388af-7ae5-4d62-88d1-787a60632f83,,,,none,,,,none
5dbc5541-9918-49f8-8817-0c2a0bd4a093,,,,"quality of life, economic",,,,"quality of life, economic"
5dde5ce6-8fff-422f-882f-29f618eecbe5,,public opinion,,,none,none,,"public opinion, none, none"
5e541690-eaac-4a51-b9f6-8f4675e3ad08,cultural identity,,,,,,cultural identity,"cultural identity, cultural identity"
5e711a29-4f6e-458a-8287-3365f062e991,,,,"political, public opinion",,,,"political, public opinion"
5e91f0f9-2ca3-4c9b-afca-1a503448796e,,,health and safety,,,,,health and safety
5edf36b3-9c39-4b0d-b655-4ca1c437716a,economic,,,,,,economic,"economic, economic"
5f1e2dad-35f1-40e6-9c2d-af68f7cde526,,,health and safety,,,,,health and safety
5f370d0f-2b2f-490f-bd0e-e70df1b6efbc,,health and safety,,,"health and safety, crime and punishment",health and safety,,"health and safety, health and safety, crime and punishment, health and safety"
5f5651c9-0a46-4975-be3a-da9df356b90d,economic,,,,,,none,"economic, none"
5f92ac54-2b80-4b84-9690-5347d15fd248,,,,none,,,,none
60029099-7bc4-4ef4-aa25-563228f7cdb3,,,,"fairness and equality, public opinion",,,,"fairness and equality, public opinion"
60d3d270-af8f-41b6-b6f0-3e4333e4b327,health and safety,,,none,,,health and safety,"health and safety, none, health and safety"
60d8fcff-367e-4f02-bc50-8f7182e1e3ff,,,none,,,,,none
61a73d5d-00a6-4797-a124-e4edf3232c11,political,,,,,,"quality of life, political","political, quality of life, political"
621648d1-1b5f-4924-a062-83694b90a817,,,"political, security and defense",,,,,"political, security and defense"
6261799f-3a92-4805-bc56-3252dd645d89,,,"health and safety, crime and punishment",,,,,"health and safety, crime and punishment"
62669ae1-ac4f-48d8-b149-6abb623e977a,quality of life,,,,,,none,"quality of life, none"
626e381b-d00e-44a6-ae58-d03b63ec31cf,,,,economic,,,,economic
62713c4f-ce11-45e5-8a8a-a90c31f05561,cultural identity,,,,,,cultural identity,"cultural identity, cultural identity"
62ad3315-afa9-45c8-9f55-caee8dd0b9d2,,quality of life,,,economic,economic,,"quality of life, economic, economic"
62c014e8-d1b1-4c07-8bf8-18a6f51bf11a,,,political,,,,,political
62c99a39-8a18-4f5d-bf4c-93c026a99e81,,quality of life,,,health and safety,"health and safety, economic",,"quality of life, health and safety, health and safety, economic"
62d339d3-ead2-45f9-b817-0275bd5d8623,health and safety,,,,,,none,"health and safety, none"
62d35d9b-0d78-4192-a9e2-65680dd26cf1,,,quality of life,,,,,quality of life
636ee5ce-b262-4424-8ec2-769eb084ef0a,,,,legality_constitutionality_jurisprudence,,,,legality_constitutionality_jurisprudence
647971c1-e166-4b1f-98ad-36d73f1ade2d,,,,none,,,,none
64886017-b960-4be8-a926-a82060ffcd6b,,,,none,,,,none
64f88015-8e5c-42e2-a96a-356da181a6bf,,,none,,,,,none
64fba265-2709-4753-83f5-d142bdacf4cb,,,security and defense,,,,,security and defense
6536778e-6197-43b3-840f-f05a2478c7e0,morality,,,,,,cultural identity,"morality, cultural identity"
6559b60b-19a3-415b-bf2f-c947cace9375,,none,,,none,"quality of life, health and safety, public opinion",,"none, none, quality of life, health and safety, public opinion"
656407fd-23d1-4f43-b534-4aa29d423864,,none,,cultural identity,cultural identity,"quality of life, political, cultural identity",,"none, cultural identity, cultural identity, quality of life, political, cultural identity"
6608ceb8-6668-41b0-8a19-f84bc5a4b7f6,,,,health and safety,,,,health and safety
66359f5d-68fd-4a8d-ba40-c6dfc5eebd8f,political,,,political,,,political,"political, political, political"
66649e8b-bf98-4576-ab28-9724f73d50c1,,,,cultural identity,,,,cultural identity
66c13b5b-4979-4933-8fa9-d2690024d679,,,,cultural identity,,,,cultural identity
67430155-2751-47e5-92af-4172bbee72ea,,none,,"quality of life, capacity and resources",none,cultural identity,,"none, quality of life, capacity and resources, none, cultural identity"
67a5dfb5-4c80-48a1-9031-9850cc137fb3,,,health and safety,,,,,health and safety
67a96524-803a-4590-84fd-2a33d1310b27,,political,,,political,"quality of life, capacity and resources, political, security and defense, policy prescription and evaluation, fairness and equality, health and safety, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation, crime and punishment",,"political, political, quality of life, capacity and resources, political, security and defense, policy prescription and evaluation, fairness and equality, health and safety, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation, crime and punishment"
684a795c-d639-438f-be20-de2385cc0834,,,none,,,,,none
68883c25-ecb6-44f8-9c24-ced1684608d1,,none,,,cultural identity,none,,"none, cultural identity, none"
68f4669f-a450-4a48-a938-6722187ee7a5,,cultural identity,,,quality of life,"quality of life, cultural identity",,"cultural identity, quality of life, quality of life, cultural identity"
69249b2f-dd5e-4590-b92d-3778c18bc888,,,quality of life,,,,,quality of life
6987dbf7-7621-4780-a283-757caf40a1dc,,,cultural identity,cultural identity,,,,"cultural identity, cultural identity"
69b9602f-e6d5-4e7c-979b-6f587e9e70e2,none,,,,,,none,"none, none"
69cc7b15-6271-439e-877f-c6983e3e11a9,,capacity and resources,,,none,quality of life,,"capacity and resources, none, quality of life"
69d4e1b0-5740-4c14-8be4-df7c9dd8121f,,,,cultural identity,,,,cultural identity
6a66e8da-8a47-4125-bd8d-449dd47bc46b,,,"quality of life, health and safety",,,,,"quality of life, health and safety"
6af157c3-23fc-4abd-8ba6-e8b1fc26b2b9,political,,,none,,,none,"political, none, none"
6b09724d-9f68-4448-af8f-97f0676530b3,none,,,,,,none,"none, none"
6b55dcc3-e1dd-4322-96d1-42382d0a4fb1,,security and defense,,,"health and safety, crime and punishment",health and safety,,"security and defense, health and safety, crime and punishment, health and safety"
6b5a5687-3fbf-4c9b-9504-4dde1703878c,none,,,,,,none,"none, none"
6bb2b5d1-5fd0-4384-b78e-a5d1ffbe456f,,political,,,none,political,,"political, none, political"
6c648a70-0b6a-445f-81ad-fa94f74b0e61,,,,public opinion,,,,public opinion
6cda6aef-5cae-497f-a157-e75f5e8a82b8,,,none,,,,,none
6d27ce1f-fbef-45be-9caa-2d09891e4548,,,"political, cultural identity","policy prescription and evaluation, fairness and equality, morality",,,,"political, cultural identity, policy prescription and evaluation, fairness and equality, morality"
6d7c4968-2f06-4cde-af80-41e4346aa8ca,economic,,,,,,none,"economic, none"
6d921627-fc37-4e2e-b965-43d8b61c114a,,,crime and punishment,,,,,crime and punishment
6e1e933e-19ed-49c9-8212-15525b200a7a,,,cultural identity,,,,,cultural identity
6e3ccef6-9b08-4184-974e-18e30bfae52a,,,,health and safety,,,,health and safety
6e6e7fea-0358-4121-b476-0ea091cf49c7,,,health and safety,,,,,health and safety
6f50df1c-1fd8-4673-83a6-185ad3cb601e,health and safety,,,health and safety,,,health and safety,"health and safety, health and safety, health and safety"
6faa16b2-36bd-4de4-a3b5-cbcf4240183c,,,quality of life,,,,,quality of life
6fb70185-750a-4d46-8e13-057aee95a3f2,,cultural identity,,,public opinion,public opinion,,"cultural identity, public opinion, public opinion"
7092e760-add1-4bd3-a67b-7fc75dccc431,,capacity and resources,,,none,"policy prescription and evaluation, health and safety, legality_constitutionality_jurisprudence, economic",,"capacity and resources, none, policy prescription and evaluation, health and safety, legality_constitutionality_jurisprudence, economic"
709fa366-269c-49a7-8c30-d08dc1253676,,"political, policy prescription and evaluation",,,legality_constitutionality_jurisprudence,political,,"political, policy prescription and evaluation, legality_constitutionality_jurisprudence, political"
70d984fb-9256-4479-a1e0-8ea5de0864ae,,,cultural identity,,,,,cultural identity
71466c1a-cc64-430f-8035-a0e0bf1261e4,,,,none,,,,none
7146a81a-30ac-411f-9980-ddbf1ea80cab,,,,public opinion,,,,public opinion
71692453-2745-4906-8a92-e2313b8596ec,,capacity and resources,,,none,cultural identity,,"capacity and resources, none, cultural identity"
71894e5f-f313-4ecf-a8f4-f47b7d1eb9e8,,,none,,,,,none
71afde02-60f1-4f30-98bc-0c9b9cf1d4c1,economic,,,,,,cultural identity,"economic, cultural identity"
72570972-e6ec-4ed6-a5d8-0e6a4fe965b3,,none,,,none,public opinion,,"none, none, public opinion"
72685da4-ef9d-49cf-bf79-17382fc3d5c5,,,political,,,,,political
728c1e5f-3d11-4230-8fb9-7d8c2c05ece9,,"security and defense, cultural identity",,,"security and defense, cultural identity","political, health and safety, cultural identity, crime and punishment",,"security and defense, cultural identity, security and defense, cultural identity, political, health and safety, cultural identity, crime and punishment"
72b10c45-6261-421f-827e-ca33e50b41b0,quality of life,,,,,,none,"quality of life, none"
72c9a979-8027-466d-b5c0-bd8ef6a14983,,,legality_constitutionality_jurisprudence,,,,,legality_constitutionality_jurisprudence
72dae0c4-d80c-45ba-a76a-ea043e7f210c,,,,health and safety,,,,health and safety
73541cff-2b35-4c4b-9db5-7ebf208603a2,health and safety,,,,,,health and safety,"health and safety, health and safety"
73ca0e5b-e07f-4e85-8aed-2ad4a18fbe61,,,,cultural identity,,,,cultural identity
74006a85-a5ba-4829-8732-deb16830ce1a,,,none,,,,,none
74930e4e-a28e-4bd9-b422-d93aaca5c0e9,,,economic,,,,,economic
74a695db-1e46-4770-b0ad-c4bce9b17c9b,,,health and safety,,,,,health and safety
751c11a1-4937-4082-8d67-2751e32e6009,economic,,,economic,,,economic,"economic, economic, economic"
752aae56-4f9e-4229-aef1-ea04abcb77a7,cultural identity,,,,,,cultural identity,"cultural identity, cultural identity"
755fe87c-b1cf-4452-a700-da38c3cf1932,economic,,,,,,none,"economic, none"
7592961d-e6e5-4ab0-bf51-045b1ee55144,,,political,,,,,political
75f23cae-469f-4ad5-b6bc-b86c41032bdf,,,,none,,,,none
76246247-c3e7-43bb-9d98-1ac0b4347857,morality,,,none,,,"morality, cultural identity","morality, none, morality, cultural identity"
7709b229-0c0f-407c-b6ef-a5efdb5cbca9,cultural identity,,,,,,none,"cultural identity, none"
774a1c41-6df9-4067-b279-40a17bd303d1,,none,,quality of life,quality of life,"security and defense, health and safety, morality, public opinion, cultural identity, crime and punishment",,"none, quality of life, quality of life, security and defense, health and safety, morality, public opinion, cultural identity, crime and punishment"
778fa9b2-7bcc-4d9e-b876-98a24e7e2970,economic,,,,,,quality of life,"economic, quality of life"
77a8296b-ca28-4240-b2ff-6836ce4eafb1,,none,,,none,"quality of life, capacity and resources, cultural identity",,"none, none, quality of life, capacity and resources, cultural identity"
77be14f1-8e8a-40a8-a19d-ad4bfe17dcf9,,cultural identity,,,none,cultural identity,,"cultural identity, none, cultural identity"
77fe1601-92d7-4dc8-b5af-ddd221274efa,,political,,,political,"political, policy prescription and evaluation, legality_constitutionality_jurisprudence, public opinion",,"political, political, political, policy prescription and evaluation, legality_constitutionality_jurisprudence, public opinion"
780f5729-9dd1-461a-a26e-bda3bd514276,health and safety,,,,,,none,"health and safety, none"
7852ed2e-6da0-4fbd-b993-43abc782d4eb,political,,,"policy prescription and evaluation, legality_constitutionality_jurisprudence",,,"political, legality_constitutionality_jurisprudence","political, policy prescription and evaluation, legality_constitutionality_jurisprudence, political, legality_constitutionality_jurisprudence"
7881822f-ea97-46f7-ad90-4c45fa9f1eda,,"political, fairness and equality",,,none,political,,"political, fairness and equality, none, political"
78951db5-792e-4734-b4f6-8b9b8f33706b,none,,,quality of life,,,none,"none, quality of life, none"
78a27510-bd67-4944-b881-392e98d1c50c,,,,capacity and resources,,,,capacity and resources
78a3dc65-eae9-40d2-baed-32e390fa6885,,cultural identity,,none,cultural identity,cultural identity,,"cultural identity, none, cultural identity, cultural identity"
78a660a2-d8d9-4045-8ae0-86151ea9408a,health and safety,,,,,,"health and safety, crime and punishment","health and safety, health and safety, crime and punishment"
78ba9ce9-fbf1-4873-838b-23a468976032,,,,political,,,,political
7972ad67-78ea-40e4-9d5c-d9cffcdbf296,,,,none,,,,none
79f4d6fc-8815-424d-bd18-2592fab62a2f,health and safety,,,,,,crime and punishment,"health and safety, crime and punishment"
7a03f1f3-1516-4467-8030-ff8d8f3d0f79,,,,none,,,,none
7a2be48e-215c-418b-b3fb-afdd3f19904c,,,none,,,,,none
7a9930a9-3685-4a6a-a4c3-cb438a577a47,,none,,,none,none,,"none, none, none"
7ad6b1d2-fe20-40b8-83db-936c85b1410c,,none,,,none,none,,"none, none, none"
7b05a2c5-c4ef-44c9-b437-b2ca7240dc35,,,political,political,,,,"political, political"
7b0ca74d-31f9-46a7-b557-137c955f8290,,,political,"political, security and defense",,,,"political, political, security and defense"
7b87b308-073d-4b94-a43b-0cda7673c5aa,,quality of life,,,"health and safety, cultural identity, crime and punishment",health and safety,,"quality of life, health and safety, cultural identity, crime and punishment, health and safety"
7be772f3-fd6f-4895-9307-dad0fe4bc982,,,cultural identity,,,,,cultural identity
7bf60703-94c6-43ba-a513-5c7593fb7ed7,,,none,,,,,none
7c211790-f4a0-453e-a738-d5f87acc83a5,,none,,none,none,none,,"none, none, none, none"
7c216404-6ce4-4cc5-8bf1-a19271a412dc,,,none,,,,,none
7c439e70-7c75-49ad-bc98-df87faee5c08,,,crime and punishment,,,,,crime and punishment
7c8bfde7-9c96-49be-83d8-d3113617fe7a,,,none,,,,,none
7cbf0740-24c1-4884-b9e7-3fc5cede4082,,crime and punishment,,,"fairness and equality, legality_constitutionality_jurisprudence","quality of life, capacity and resources, political, security and defense, health and safety, legality_constitutionality_jurisprudence, morality, public opinion, cultural identity, crime and punishment",,"crime and punishment, fairness and equality, legality_constitutionality_jurisprudence, quality of life, capacity and resources, political, security and defense, health and safety, legality_constitutionality_jurisprudence, morality, public opinion, cultural identity, crime and punishment"
7cceb62e-3484-464b-b1e7-6f8c92a203d4,crime and punishment,,,crime and punishment,,,"political, crime and punishment","crime and punishment, crime and punishment, political, crime and punishment"
7d3f69c9-c394-49c3-844f-36c93221a1b8,,,,cultural identity,,,,cultural identity
7d557e18-5e28-41d7-b090-1039d13bf37c,,none,,,none,none,,"none, none, none"
7d633df1-d06e-402a-a166-cc0648dc9e48,,,cultural identity,,,,,cultural identity
7da2f497-8838-402d-865d-ffd69cdac90f,,economic,,,economic,"quality of life, security and defense, economic, public opinion, crime and punishment",,"economic, economic, quality of life, security and defense, economic, public opinion, crime and punishment"
7db24bca-c144-4f9b-905f-170726e1b6fb,,crime and punishment,,,cultural identity,cultural identity,,"crime and punishment, cultural identity, cultural identity"
7e5dba0f-9002-41c9-bddd-3c60cfb6df99,,,crime and punishment,,,,,crime and punishment
7e67bf96-336a-4dfd-8282-40ad3e65f394,,,,crime and punishment,,,,crime and punishment
7e843842-c734-467c-a6bb-89d784ce85ff,,none,,,none,"capacity and resources, security and defense, economic",,"none, none, capacity and resources, security and defense, economic"
7ead6314-fa66-47c6-98d2-bfedd466c4d1,,,legality_constitutionality_jurisprudence,,,,,legality_constitutionality_jurisprudence
7ef6cba0-54ae-43a2-bc99-a585d7d1150c,,capacity and resources,,,none,quality of life,,"capacity and resources, none, quality of life"
7f0e120d-9a41-4aed-91b3-4811860f295a,,none,,,none,"quality of life, health and safety, economic",,"none, none, quality of life, health and safety, economic"
7f1923aa-f741-4937-96e7-b03cda3a3ec7,,quality of life,,,none,economic,,"quality of life, none, economic"
7f2c959d-fbeb-45e5-a0f7-3626b760694e,,none,,,none,capacity and resources,,"none, none, capacity and resources"
